n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
300,7,0.03,0.8,1.0,0.5,1.0,0.6770675129111214,0.5798316929799674,UP,0.642489492893219,0.357510507106781
200,7,0.03,0.8,1.0,0.5,1.0,0.6770675129111214,0.5798316929799674,UP,0.642489492893219,0.357510507106781
100,7,0.03,0.8,1.0,0.5,1.0,0.6770675129111214,0.5798316929799674,UP,0.642489492893219,0.357510507106781
300,7,0.05,0.6,0.7,0.5,3.0,0.6771560046378222,0.5723375599188372,UP,0.8060617446899414,0.1939382553100586
200,7,0.05,0.6,0.7,0.5,3.0,0.6771560046378222,0.5723375599188372,UP,0.8060617446899414,0.1939382553100586
100,7,0.05,0.6,0.7,0.5,3.0,0.6771560046378222,0.5723375599188372,UP,0.8060617446899414,0.1939382553100586
300,7,0.01,0.6,1.0,0.0,1.0,0.677257524098792,0.5754069920651188,UP,0.6176588535308838,0.3823411464691162
200,7,0.01,0.6,1.0,0.0,1.0,0.677257524098792,0.5754069920651188,UP,0.6176588535308838,0.3823411464691162
100,7,0.01,0.6,1.0,0.0,1.0,0.677257524098792,0.5754069920651188,UP,0.6176588535308838,0.3823411464691162
300,7,0.01,0.6,0.7,0.5,3.0,0.6773152738020739,0.5733249607664764,UP,0.5953937768936157,0.4046062231063843
200,7,0.01,0.6,0.7,0.5,3.0,0.6773152738020739,0.5733249607664764,UP,0.5953937768936157,0.4046062231063843
100,7,0.01,0.6,0.7,0.5,3.0,0.6773526489672758,0.5702761802786716,UP,0.5953937768936157,0.4046062231063843
300,7,0.01,0.6,1.0,0.5,1.0,0.6774043459905328,0.5696371399695286,UP,0.6294872164726257,0.37051278352737427
200,7,0.01,0.6,1.0,0.5,1.0,0.6774043459905328,0.5696371399695286,UP,0.6294872164726257,0.37051278352737427
100,7,0.01,0.6,1.0,0.5,1.0,0.6774043459905328,0.5696371399695286,UP,0.6294872164726257,0.37051278352737427
300,5,0.03,0.8,1.0,0.5,1.0,0.6774618066141932,0.5778733318390434,UP,0.6424574255943298,0.35754257440567017
100,5,0.03,0.8,1.0,0.5,1.0,0.6774618066141932,0.5778733318390434,UP,0.6424574255943298,0.35754257440567017
200,5,0.03,0.8,1.0,0.5,1.0,0.6774618066141932,0.5778733318390434,UP,0.6424574255943298,0.35754257440567017
300,7,0.01,0.6,0.7,0.0,3.0,0.6775724970465923,0.582440444638747,UP,0.586958110332489,0.413041889667511
200,7,0.01,0.6,0.7,0.0,3.0,0.6775724970465923,0.582440444638747,UP,0.586958110332489,0.413041889667511
100,7,0.01,0.6,0.7,0.0,3.0,0.6775724970465923,0.582440444638747,UP,0.586958110332489,0.413041889667511
100,3,0.05,0.8,1.0,0.5,3.0,0.6775915338498179,0.5782876817674083,UP,0.5303319692611694,0.46966803073883057
300,3,0.05,0.8,1.0,0.5,3.0,0.6775915338498179,0.5782876817674083,UP,0.5303319692611694,0.46966803073883057
200,3,0.05,0.8,1.0,0.5,3.0,0.6775915338498179,0.5782876817674083,UP,0.5303319692611694,0.46966803073883057
300,5,0.03,0.8,1.0,0.5,3.0,0.6776041405214132,0.5853417859995134,UP,0.6076368689537048,0.39236313104629517
100,5,0.03,0.8,1.0,0.5,3.0,0.6776041405214132,0.5853417859995134,UP,0.6076368689537048,0.39236313104629517
200,5,0.03,0.8,1.0,0.5,3.0,0.6776041405214132,0.5853417859995134,UP,0.6076368689537048,0.39236313104629517
100,3,0.05,0.8,1.0,0.0,1.0,0.6776409872892807,0.5773507973416449,UP,0.5737943053245544,0.42620569467544556
300,3,0.05,0.8,1.0,0.0,1.0,0.6776409872892807,0.5773507973416449,UP,0.5737943053245544,0.42620569467544556
200,3,0.05,0.8,1.0,0.0,1.0,0.6776409872892807,0.5773507973416449,UP,0.5737943053245544,0.42620569467544556
100,5,0.01,0.6,0.7,0.5,1.0,0.6776565207662183,0.5794163376031657,UP,0.5656176209449768,0.4343823790550232
300,5,0.01,0.6,0.7,0.5,1.0,0.6776565207662183,0.5794163376031657,UP,0.5656176209449768,0.4343823790550232
200,5,0.01,0.6,0.7,0.5,1.0,0.6776565207662183,0.5794163376031657,UP,0.5656176209449768,0.4343823790550232
200,5,0.05,0.8,0.7,0.0,3.0,0.677662008277901,0.5974327199340628,UP,0.6003121733665466,0.39968782663345337
300,5,0.05,0.8,0.7,0.0,3.0,0.677662008277901,0.5974327199340628,UP,0.6003121733665466,0.39968782663345337
100,5,0.05,0.8,0.7,0.0,3.0,0.677662008277901,0.5974327199340628,UP,0.6003121733665466,0.39968782663345337
200,7,0.05,0.8,0.7,0.0,3.0,0.6778130890730665,0.5954105065070604,UP,0.5593773126602173,0.4406226873397827
100,7,0.05,0.8,0.7,0.0,3.0,0.6778130890730665,0.5954105065070604,UP,0.5593773126602173,0.4406226873397827
300,7,0.05,0.8,0.7,0.0,3.0,0.6778130890730665,0.5954105065070604,UP,0.5593773126602173,0.4406226873397827
100,7,0.01,0.6,1.0,0.0,3.0,0.6778904643355235,0.5712934332690183,UP,0.6267481446266174,0.37325185537338257
200,7,0.01,0.6,1.0,0.0,3.0,0.6778904643355235,0.5712934332690183,UP,0.6267481446266174,0.37325185537338257
300,7,0.01,0.6,1.0,0.0,3.0,0.6778904643355235,0.5712934332690183,UP,0.6267481446266174,0.37325185537338257
300,5,0.05,0.6,0.7,0.0,1.0,0.6779008423685142,0.5742535996736794,UP,0.657454788684845,0.34254521131515503
100,5,0.05,0.6,0.7,0.0,1.0,0.6779008423685142,0.5742535996736794,UP,0.657454788684845,0.34254521131515503
200,5,0.05,0.6,0.7,0.0,1.0,0.6779008423685142,0.5742535996736794,UP,0.657454788684845,0.34254521131515503
100,5,0.05,0.8,0.7,0.5,1.0,0.6779014825709405,0.5834235965201893,UP,0.6048558354377747,0.39514416456222534
300,5,0.05,0.8,0.7,0.5,1.0,0.6779014825709405,0.5834235965201893,UP,0.6048558354377747,0.39514416456222534
200,5,0.05,0.8,0.7,0.5,1.0,0.6779014825709405,0.5834235965201893,UP,0.6048558354377747,0.39514416456222534
100,5,0.03,0.8,0.7,0.0,1.0,0.6779074088842335,0.5770714425383274,UP,0.6425287127494812,0.3574712872505188
200,5,0.03,0.8,0.7,0.0,1.0,0.6779074088842335,0.5770714425383274,UP,0.6425287127494812,0.3574712872505188
300,5,0.03,0.8,0.7,0.0,1.0,0.6779074088842335,0.5770714425383274,UP,0.6425287127494812,0.3574712872505188
200,7,0.01,0.8,1.0,0.0,3.0,0.6779413081487324,0.5842430706513051,UP,0.619950532913208,0.380049467086792
300,7,0.01,0.8,1.0,0.0,3.0,0.6779413081487324,0.5842430706513051,UP,0.619950532913208,0.380049467086792
200,5,0.05,0.8,1.0,0.0,3.0,0.6779844666213982,0.5892893153897387,UP,0.6415804624557495,0.3584195375442505
300,5,0.05,0.8,1.0,0.0,3.0,0.6779844666213982,0.5892893153897387,UP,0.6415804624557495,0.3584195375442505
100,5,0.05,0.8,1.0,0.0,3.0,0.6779844666213982,0.5892893153897387,UP,0.6415804624557495,0.3584195375442505
300,5,0.05,0.6,1.0,0.0,1.0,0.6781310794413216,0.5555805290997812,UP,0.5064880847930908,0.4935119152069092
100,5,0.05,0.6,1.0,0.0,1.0,0.6781310794413216,0.5555805290997812,UP,0.5064880847930908,0.4935119152069092
200,5,0.05,0.6,1.0,0.0,1.0,0.6781310794413216,0.5555805290997812,UP,0.5064880847930908,0.4935119152069092
300,7,0.05,1.0,0.7,0.0,1.0,0.6782705985288181,0.5622449442350531,UP,0.5058366060256958,0.4941633939743042
200,7,0.05,1.0,0.7,0.0,1.0,0.6782705985288181,0.5622449442350531,UP,0.5058366060256958,0.4941633939743042
100,7,0.05,1.0,0.7,0.0,1.0,0.6782705985288181,0.5622449442350531,UP,0.5058366060256958,0.4941633939743042
100,7,0.01,0.8,1.0,0.0,1.0,0.6783760312647482,0.5804984861901026,UP,0.5369947552680969,0.4630052447319031
200,7,0.01,0.8,1.0,0.0,1.0,0.6783760312647482,0.5804984861901026,UP,0.5369947552680969,0.4630052447319031
300,7,0.01,0.8,1.0,0.0,1.0,0.6783760312647482,0.5804984861901026,UP,0.5369947552680969,0.4630052447319031
300,5,0.01,0.8,1.0,0.5,3.0,0.6783940905828545,0.5897129667678678,UP,0.5580859184265137,0.44191408157348633
200,5,0.01,0.8,1.0,0.5,3.0,0.6783940905828545,0.5897129667678678,UP,0.5580859184265137,0.44191408157348633
100,7,0.01,0.8,1.0,0.0,3.0,0.6784059997296468,0.5861529388879185,UP,0.6087480783462524,0.39125192165374756
100,5,0.01,0.8,1.0,0.5,3.0,0.6784355811099592,0.5856479261174613,UP,0.5580859184265137,0.44191408157348633
200,5,0.01,0.6,0.7,0.5,3.0,0.6784404281583606,0.5735414182493855,UP,0.5655965805053711,0.4344034194946289
300,5,0.01,0.6,0.7,0.5,3.0,0.6784404281583606,0.5735414182493855,UP,0.5655965805053711,0.4344034194946289
200,3,0.03,0.6,0.7,0.5,3.0,0.6785033315616782,0.5727014186667098,UP,0.6564413905143738,0.3435586094856262
100,3,0.03,0.6,0.7,0.5,3.0,0.6785033315616782,0.5727014186667098,UP,0.6564413905143738,0.3435586094856262
300,3,0.03,0.6,0.7,0.5,3.0,0.6785033315616782,0.5727014186667098,UP,0.6564413905143738,0.3435586094856262
100,5,0.01,0.6,0.7,0.5,3.0,0.6785090630076192,0.5704926377615807,UP,0.5655965805053711,0.4344034194946289
