n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
100,7,0.03,0.5,0.748219342730219,0.5395565010416838,UP,0.6465527415275574,0.3534472584724426
200,5,0.01,0.8,0.7483115617305511,0.5420521446593777,UP,0.5553876757621765,0.4446123242378235
100,5,0.03,0.5,0.7489091135483544,0.5424548008157567,UP,0.5744103193283081,0.4255896806716919
250,9,0.01,0.5,0.7489100094541805,0.5337351649378562,UP,0.6238947510719299,0.37610524892807007
50,9,0.03,0.8,0.7489941504575599,0.5258868055211993,UP,0.5735571384429932,0.42644286155700684
300,5,0.01,0.5,0.751122620112954,0.541480455372505,UP,0.6979547739028931,0.30204522609710693
200,7,0.01,0.8,0.7525807141738222,0.5394231984916198,UP,0.6440432071685791,0.3559567928314209
50,5,0.05,0.5,0.7537000874386789,0.5221117322735094,UP,0.6574717164039612,0.3425282835960388
300,7,0.01,0.5,0.754015690051828,0.543093828504208,UP,0.6833890080451965,0.31661099195480347
50,9,0.05,0.5,0.7550446988379435,0.5475395372614984,UP,0.5291808247566223,0.4708191752433777
150,3,0.03,0.5,0.7585025847258645,0.5583356695635923,UP,0.6927136778831482,0.3072863221168518
250,5,0.01,0.8,0.759884202896493,0.5538446104542182,UP,0.5843662023544312,0.41563379764556885
300,9,0.01,0.5,0.7640281552774469,0.5375638340561903,UP,0.650097131729126,0.349902868270874
100,3,0.05,0.5,0.7667174226332794,0.5432807269249164,UP,0.6326640844345093,0.3673359155654907
50,5,0.05,0.8,0.7681250107323899,0.5168840735060495,UP,0.676353931427002,0.32364606857299805
200,9,0.01,0.8,0.7682196929080275,0.5146096846364001,UP,0.6025838255882263,0.3974161744117737
150,3,0.03,1.0,0.7694841811420985,0.5422871419383565,UP,0.7035692930221558,0.29643070697784424
300,5,0.01,0.8,0.7698389389940558,0.5525349472561664,UP,0.6015498042106628,0.39845019578933716
150,5,0.03,0.5,0.7701573876944933,0.531445659284179,UP,0.6251615881919861,0.3748384118080139
150,3,0.03,0.8,0.7703986507593612,0.5461185595628776,UP,0.6647260189056396,0.33527398109436035
250,7,0.01,0.8,0.7704458414587534,0.5347273756713227,UP,0.6807765960693359,0.31922340393066406
100,5,0.03,0.8,0.7705457346270804,0.5384832093757043,UP,0.6416575312614441,0.3583424687385559
200,5,0.01,1.0,0.7716216467760787,0.5297773160287383,UP,0.6130279302597046,0.3869720697402954
150,7,0.01,1.0,0.7738129396048677,0.5099866972300555,UP,0.5637302398681641,0.43626976013183594
200,3,0.03,0.5,0.7741243799618124,0.5634039149722125,UP,0.7484379410743713,0.25156205892562866
50,3,0.1,0.8,0.776042380424661,0.5383375385477992,UP,0.5926426649093628,0.4073573350906372
50,9,0.03,1.0,0.7771105087592919,0.5016614719899735,UP,0.527428925037384,0.47257107496261597
50,7,0.03,1.0,0.7799593075934118,0.51647729459039,UP,0.6371994018554688,0.36280059814453125
150,7,0.03,0.5,0.7803366668916712,0.5296371422132071,UP,0.717587411403656,0.282412588596344
150,9,0.03,0.5,0.7809466022345637,0.5363558655870535,UP,0.7073525190353394,0.29264748096466064
100,3,0.05,1.0,0.7811244176005405,0.5341543121313567,UP,0.7394266128540039,0.2605733871459961
150,9,0.01,1.0,0.7823493159403815,0.501734307403926,UP,0.5488811731338501,0.4511188268661499
100,3,0.05,0.8,0.7842671747628076,0.5471492493829604,UP,0.6758205890655518,0.32417941093444824
200,5,0.03,0.5,0.7852009517387718,0.5404181577312731,UP,0.651987612247467,0.34801238775253296
100,7,0.05,0.5,0.78598562333727,0.5365221502113601,UP,0.7719833254814148,0.2280166745185852
300,7,0.01,0.8,0.7863573444779681,0.5393503630776673,UP,0.7048606872558594,0.2951393127441406
250,9,0.01,0.8,0.7869199247086417,0.5222807654040029,UP,0.6426345109939575,0.3573654890060425
100,7,0.03,0.8,0.7872731086769735,0.5359216016095253,UP,0.7717968821525574,0.22820311784744263
150,3,0.05,0.5,0.7891594044245333,0.5361085000302336,UP,0.7223800420761108,0.27761995792388916
50,3,0.1,0.5,0.7895103590854035,0.5328061698466883,UP,0.6412944197654724,0.3587055802345276
250,5,0.01,1.0,0.7897138963707838,0.5300988912526042,UP,0.6287510395050049,0.3712489604949951
50,9,0.05,0.8,0.7918816863448755,0.5197686307491879,UP,0.6452651023864746,0.3547348976135254
50,3,0.1,1.0,0.7929415656833406,0.5333228890098232,UP,0.7009454369544983,0.2990545630455017
200,3,0.03,0.8,0.7929926928207292,0.5521474078838152,UP,0.7467684745788574,0.2532315254211426
200,3,0.03,1.0,0.7937894797695458,0.5400924597481269,UP,0.74749755859375,0.25250244140625
250,3,0.03,0.5,0.7953196143991468,0.5622797759417756,UP,0.7557372450828552,0.24426275491714478
200,7,0.03,0.5,0.7966142318190137,0.5362940241978484,UP,0.7756987810134888,0.22430121898651123
50,7,0.05,0.8,0.7969630755061874,0.534462144824288,UP,0.6751082539558411,0.32489174604415894
