date,vix_near,vix_far
2015-04-13,14.373176008775086,14.859584706474195
2015-04-15,14.455450634369754,14.837804268209185
2015-04-16,14.620300359334882,14.848003862850636
2015-04-17,14.760200226840931,14.865458053669034
2015-04-20,15.273466563580804,14.99587088852281
2015-04-21,15.858977937935705,15.180791779261236
2015-04-22,16.30931832011469,15.365265170644092
2015-04-23,17.039545546743128,15.6502410642219
2015-04-24,17.72969723461261,15.964764659324596
2015-04-27,18.06646474678113,16.21705876039674
2015-04-28,17.847643113658123,16.32550795012541
2015-04-29,17.645095332811472,16.40864357021566
2015-04-30,17.506730069286426,16.48331229494481
2015-05-04,17.44115320150508,16.558465674126406
2015-05-05,17.41410233778724,16.63133248651051
2015-05-06,18.16606825062281,16.90757499467264
2015-05-07,18.6607120399253,17.156886324114243
2015-05-08,18.810474896734057,17.334442168317636
2015-05-11,18.75031631807824,17.45222007672209
2015-05-12,19.350210624405676,17.733836364025585
2015-05-13,19.796807260956324,18.002578561301224
2015-05-14,20.09787176161737,18.247798761450152
2015-05-15,20.00524773935299,18.390726119029612
2015-05-18,19.30349836574542,18.346114618984217
2015-05-19,18.95899906308484,18.33919514978235
2015-05-20,18.54599914650806,18.282904619198
2015-05-21,18.16733271347608,18.203549639944736
2015-05-22,17.761555396630538,18.089590651126073
2015-05-25,17.48437036614562,17.984173346948772
2015-05-26,17.346246809038487,17.901066651301086
2015-05-27,17.324164768240827,17.84460610905967
2015-05-28,17.259442899082753,17.779641841033026
2015-05-29,17.059628548525872,17.677856205249306
2015-06-01,17.009752314821284,17.60805108180956
2015-06-02,16.94650144148893,17.536410046629072
2015-06-03,17.1343343706199,17.534009154106595
2015-06-04,17.462889860157734,17.58728112548176
2015-06-05,17.671926624301122,17.63298285521868
2015-06-08,18.077950879416896,17.747257085621385
2015-06-09,18.055300662571877,17.77114282591779
2015-06-10,17.73020041628327,17.70831165298945
2015-06-11,17.756800099502975,17.717555999621535
2015-06-12,17.66453324708076,17.695959958041062
2015-06-15,17.616355650641733,17.679963639834025
2015-06-16,17.467570459192473,17.633603315875835
2015-06-17,17.22171348687376,17.55145751827224
2015-06-18,16.821142477170397,17.412234149135095
2015-06-19,16.244095035642896,17.201121967630804
2015-06-22,15.992729947467986,17.04556540431147
2015-06-23,15.675153285596334,16.863241273178886
2015-06-24,15.756768882495537,16.77749207346207
2015-06-25,15.814512690055619,16.700447367254228
2015-06-26,15.79634186966436,16.614952172856736
2015-06-29,16.297560992129757,16.677229178693445
